name,grade,birth_date_hijri,death_date_hijri,reliability_grade
Prophet Muhammad(saw) ( محمّد صلّی اللہ علیہ وآلہ وسلّم ( رضي الله عنه,Rasool Allah,53.0,11.0,Unknown
Abu Bakr As-Siddique ( أبو بكر الصديق ( رضي الله عنه,Comp.(RA) [1st Generation],51.0,13.0,Thiqa
'Umar ibn al-Khattab ( عمر بن الخطاب بن نفيل ( رضي الله عنه,Comp.(RA) [1st Generation],41.0,23.0,Thiqa
'Uthman ibn 'Affaan ( عثمان بن عفان ( رضي الله عنه,Comp.(RA) [1st Generation],47.0,35.0,Thiqa
Ali ibn Abi Talib ( علي بن أبي طالب بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],23.0,40.0,Thiqa
Talha ibn 'Ubaidullah ( طلحة بن عبيد الله ( رضي الله عنه,Comp.(RA) [1st Generation],28.0,36.0,Thiqa
Zubayr ibn al-Awwam ( الزبير بن العوام بن خويلد ( رضي الله عنه,Comp.(RA) [1st Generation],28.0,36.0,Thiqa
'Abdur Rahman Ibn 'Awf ( عبد الرحمن بن عوف ( رضي الله عنه,Comp.(RA) [1st Generation],43.0,32.0,Thiqa
Sa'd ibn Abi Waqqas ( سعد بن أبي وقاص ( رضي الله عنه,Comp.(RA) [1st Generation],39.0,55.0,Thiqa
Abu 'Ubaidah ibn al-Jarrah ( أبو عبيدة بن الجراح ( رضي الله عنه,Comp.(RA) [1st Generation],40.0,18.0,Thiqa
Sa'id bin Zayd ( سعيد بن زيد ( رضي الله عنه,Comp.(RA) [1st Generation],23.0,50.0,Thiqa
Mus'ab ibn 'Umair ( مصعب بن عمير ( رضي الله عنه,Comp.(RA),,3.0,Thiqa
Abu Hurairah ( أبو هريرة - عبد الرحمن بن صخر الدوسي  ( رضي الله عنه,Comp.(RA) [1st Generation],12.0,59.0,Thiqa
Salman Farsi ( سلمان أبو عبد الله الفارسي ( رضي الله عنه,Comp.(RA) [1st Generation],,36.0,Thiqa
Zayd ibn Harithah ( زيد بن حارثة ( رضي الله عنه,Comp.(RA) [1st Generation],35.0,8.0,Thiqa
ibn Mas'ud ( عبد الله بن مسعود ( رضي الله عنه,Comp.(RA) [1st Generation],,32.0,Thiqa
ibn Abbas ( عبد الله بن العباس بن عبد المطلب  الحبر ( رضي الله عنه,Comp.(RA) [1st Generation],3.0,68.0,Thiqa
ibn Umar ( عبد الله بن عمر بن الخطاب ( رضي الله عنه,Comp.(RA) [1st Generation],10.0,74.0,Thiqa
Anas bin Malik ( أنس بن مالك بن النضر ( رضي الله عنه,Comp.(RA) [1st Generation],10.0,93.0,Thiqa
